Datetime,TSLA,TSLA,TSLA,TSLA,TSLA
2025-09-29 13:30:00,447.3399963378906,447.3699951171875,443.0,444.3550109863281,3226507
2025-09-29 13:31:00,449.5199890136719,449.70001220703125,447.2550048828125,447.3800048828125,952995
2025-09-29 13:32:00,450.0400085449219,450.9800109863281,448.82000732421875,449.4700012207031,1209119
2025-09-29 13:33:00,449.8599853515625,450.1400146484375,448.70001220703125,449.90008544921875,544604
2025-09-29 13:34:00,449.2200012207031,450.6099853515625,448.4200134277344,450.0,507209
2025-09-29 13:35:00,448.79998779296875,450.1000061035156,448.2799987792969,449.1600036621094,454856
2025-09-29 13:36:00,449.0,449.6400146484375,448.4800109863281,448.760009765625,287800
2025-09-29 13:37:00,449.34991455078125,449.7099914550781,448.6499938964844,448.9599914550781,326596
2025-09-29 13:38:00,449.0841064453125,450.2300109863281,448.5,449.42999267578125,450983
2025-09-29 13:39:00,448.6650085449219,449.67999267578125,448.4800109863281,449.05999755859375,383721
2025-09-29 13:40:00,448.3900146484375,449.3900146484375,447.7279052734375,448.6001892089844,447014
2025-09-29 13:41:00,447.05340576171875,448.92999267578125,446.8800964355469,448.44000244140625,521110
2025-09-29 13:42:00,445.42999267578125,447.07000732421875,444.95001220703125,447.0376892089844,542024
2025-09-29 13:43:00,446.3550109863281,446.6300048828125,445.20001220703125,445.37030029296875,409222
2025-09-29 13:44:00,447.3963928222656,447.6299133300781,446.3900146484375,446.3900146484375,358232
2025-09-29 13:45:00,446.806884765625,448.0470886230469,446.0805969238281,447.3500061035156,386632
2025-09-29 13:46:00,446.2850036621094,447.1199951171875,445.79998779296875,446.79998779296875,248266
2025-09-29 13:47:00,445.4700012207031,446.7298889160156,445.05999755859375,446.30999755859375,318029
2025-09-29 13:48:00,445.3583984375,446.0465087890625,445.2099914550781,445.3984069824219,298611
2025-09-29 13:49:00,446.784912109375,446.8800048828125,444.7300109863281,445.4375915527344,532992
2025-09-29 13:50:00,445.93780517578125,446.9800109863281,445.4100036621094,446.7349853515625,273340
2025-09-29 13:51:00,445.3800964355469,446.16241455078125,445.1400146484375,445.9197082519531,182960
2025-09-29 13:52:00,444.2831115722656,445.4800109863281,443.3500061035156,445.42999267578125,551826
2025-09-29 13:53:00,443.79998779296875,444.4800109863281,443.6300048828125,444.28741455078125,331522
2025-09-29 13:54:00,444.5899963378906,444.8699951171875,443.3500061035156,443.8799133300781,326599
2025-09-29 13:55:00,441.7200012207031,444.5899963378906,441.5,444.5799865722656,587347
2025-09-29 13:56:00,442.59228515625,442.7799987792969,441.5,441.6951904296875,330782
2025-09-29 13:57:00,443.1123962402344,443.3900146484375,442.4800109863281,442.6199951171875,287899
2025-09-29 13:58:00,443.8599853515625,444.15899658203125,443.07000732421875,443.0979919433594,294059
2025-09-29 13:59:00,444.4100036621094,444.5299072265625,443.5,443.8999938964844,250322
2025-09-29 14:00:00,443.3150939941406,445.2900085449219,443.26959228515625,444.4100036621094,511872
2025-09-29 14:01:00,442.6549987792969,443.7799987792969,442.2401123046875,443.260009765625,398648
2025-09-29 14:02:00,442.625,443.552490234375,442.44000244140625,442.82000732421875,260129
2025-09-29 14:03:00,441.2200012207031,442.8500061035156,441.2099914550781,442.6700134277344,316253
2025-09-29 14:04:00,441.35009765625,441.8999938964844,441.260009765625,441.8900146484375,409383
2025-09-29 14:05:00,442.8959045410156,443.010009765625,441.1499938964844,441.3399963378906,350514
2025-09-29 14:06:00,443.30999755859375,443.4100036621094,442.8399963378906,442.92999267578125,6235902
2025-09-29 14:07:00,444.42999267578125,444.510009765625,443.18011474609375,443.31500244140625,0
2025-09-29 14:08:00,443.9382019042969,444.510009765625,443.8599853515625,444.4200134277344,256499
2025-09-29 14:09:00,445.2250061035156,445.2900085449219,444.0199890136719,444.0199890136719,372916
2025-09-29 14:10:00,445.0299987792969,445.4798889160156,444.8299865722656,445.1400146484375,262670
2025-09-29 14:11:00,444.0899963378906,445.1899108886719,443.55999755859375,445.0849914550781,334835
2025-09-29 14:12:00,444.35009765625,444.739990234375,444.0,444.0838928222656,175851
2025-09-29 14:13:00,445.31500244140625,445.54998779296875,444.30999755859375,444.31500244140625,280590
2025-09-29 14:14:00,445.79949951171875,445.9299011230469,445.03009033203125,445.30999755859375,230798
2025-09-29 14:15:00,446.1463928222656,446.3500061035156,445.57000732421875,445.75,324831
2025-09-29 14:16:00,446.2749938964844,446.4700012207031,445.82501220703125,446.14239501953125,226961
2025-09-29 14:17:00,446.41009521484375,446.489990234375,445.3999938964844,446.239990234375,262630
2025-09-29 14:18:00,445.7049865722656,446.4599914550781,445.5,446.4599914550781,182407
2025-09-29 14:19:00,444.7699890136719,445.9800109863281,444.739990234375,445.75,274324
2025-09-29 14:20:00,444.7099914550781,445.2799987792969,444.45001220703125,444.79998779296875,187858
2025-09-29 14:21:00,445.1180114746094,445.239990234375,444.5,444.70001220703125,165862
2025-09-29 14:22:00,444.70318603515625,445.1962890625,444.44000244140625,445.0950012207031,182005
2025-09-29 14:23:00,444.3900146484375,444.69000244140625,443.6199951171875,444.6400146484375,245642
2025-09-29 14:24:00,443.393798828125,444.3500061035156,443.1499938964844,444.3500061035156,206873
2025-09-29 14:25:00,443.75201416015625,444.19989013671875,443.0690002441406,443.3999938964844,178094
2025-09-29 14:26:00,444.04400634765625,444.3800048828125,443.6499938964844,443.7650146484375,157670
2025-09-29 14:27:00,444.1199951171875,444.39990234375,443.7500915527344,444.0400085449219,110512
